Model,Accuracy,Precision,Recall
Logistic Regression,0.9948186528497409,0.995,0.9971428571428572
Linear SVM,0.9948186528497409,0.995,0.9971428571428572
KNN,0.9792746113989638,0.9761111111111112,0.9761428571428571
Naive Bayes,0.9689119170984456,0.9839783281733746,0.9464761904761905
